blockchain,address,ternoaAddress,LP,tiime
BSC,0xe77352d7e18d868fc5404e191e101b1d6dcda92e,5EsRhJmj3kneGCb14Mbo9hSU6guhxT5Nyt7SYnJf98KPUgBG,267,691
BSC,0x5e0b147c4b3aa8e363f58627e8960bb411482eaa,5HGk99MzGMNuwnxZ1qTwkU9SLaQgkjgbd5CUjP2eN5XgXiLu,31,79
BSC,0x91d9d29a9934068507430943283c04312ecf2631,5Ckv7MbDK7NwKZMZamLrkRmj5ofEmDZBaNchhy4m3FagQGCw,364,943
BSC,0x1a2319acca9bc8922c656362b2aa6f6a37edcf08,5HiaHJfn1FJd4GY83ddjichYjnJKq1hMRSaYzgyTUrPCMX9B,5,12
BSC,0x1b53417ce962f4d09cc68e6b308089aa3948b148,5Gv5g2dUPvuZNuknnHFyBRrBJ7z9oWuNUMMndtY2Tq8zjx5z,4181,10821
BSC,0x32b761a2c54ba432541c31e980872083a2a161c5,5F1cd3Mw45vt7wMU1VhmvcnZ6igs1fnKA2xzByfuMcVtG5ss,334,865
BSC,0x7b621d9406e311406cf1096405797a71793dee08,5GE1TGh7vFrrdkfVmexGXVJw3JKPhfzvWgnQi2cDiAmf6iiW,52,135
BSC,0x36e2ff4ad7f40d59c39994e6ca2b0c381aa0a51f,5GBiELrRTXkapPdxoaNFTN65dR4pxR9niwJVE87M9txVX7Sq,59,154
ETH,0x1b53417ce962f4d09cc68e6b308089aa3948b148,5Gv5g2dUPvuZNuknnHFyBRrBJ7z9oWuNUMMndtY2Tq8zjx5z,1180,3053
ETH,0x32b761a2c54ba432541c31e980872083a2a161c5,5F1cd3Mw45vt7wMU1VhmvcnZ6igs1fnKA2xzByfuMcVtG5ss,95,246
